,Review
40,If you’re thinking about buying this buy it right now! I had iPhone 7 and wanted another phone I can have years to come it took me two months to buy this because how much money. When I did BOY! I have never been so happy! I can’t express how happy and thankful iam to this company! Everything transferred over in less than 15 mins it was activate it with metro pcs within 10mins. I do have small hands so sometimes it’s hard to hold with one hand haha! The camera is awesome sound is awesome the color is greatit’s fast and up to date! It came with a screen protector you can buy another one. Get a good case I got mines from metro than I order one from red bubble. My watch paired fast dude! Buy this ASAP you’ll love it calls is cool it drops when I’m in a dead zone but that’s my services obviously turning the phone off tho is weird af 😂😂 buy a real apple charger got mines from Meijers for $20 charge my phone fast the battery life was 100%! It last about a 11 hours until it dies
41,Recomended!!
42,I can’t send messages to anyone who doesn’t have an iPhone. The power button doesn’t work correctly and often times Siri doesn’t respond. The only way to get the issue corrected is to be without a phone until the seller sends me a new one. I’d never buy again or from this company.
43,"Certified. Refurbished. Quality Controlled. 70-point inspection.All indicators that you better insure any and every product purchased under the brand BuySpry because as the name suggests it will break quickly. Hopefully you are one of the lucky ones that buy second hand and receives a product that functions and lasts. You have no assurance or guarantee, just a wish. Be very careful within initial return period (most often 30 days) as any even small issue needs to be addressed. That issue, whatever it may be will prove fatal in due time. It is almost as if devices are programmed to break after 30 days. In my personal case, the iPhone I purchased after a week of normal use suffered critical issue. Customer service did not respond to the most recent message from me via email. After speaking to them on phone they stated resolution would be a refund. Do you have a back up device? I hope so. In the lucky case of an exchange (which I pushed for) brace yourself for longer than promised times to receive new product. There is a chance this turns into groundhog day but I hope you receive a working product that endures.Overall enterprise and business solution, would be to place more in reserves for replacement and increase service ability to send new product with promissory of receiving broken product. Filling this void, keeping customers whole while resolving issue. Leaving customers a loaner device would increase their reputation, making them the tallest in a room of short people but hey, you would purchase with confidence under that premise right? Do not buy from this organization if you plan to gift. Please do your loved one a favor and keep BUYSRY's mediocre business and risk to yourself. Just buy her something new you cheapskate! Good luck and stay healthy."
44,"I have never bought a used phone before and I've never bought one online. I always went through my carrier. However, this time I was ready to save some money and get an unlocked phone. I was a little nervous but I did some research and then took a risk since I had time to return it for a full refund if it didn't work out. The phone came in perfect condition and works like new. To me, I can't tell the difference between this phone and a brand new one! I've been using it for about 4 days and I've had no issues! Definitely worth the risk."
45,Great phones... I initially bought one for my daughter and ended up ordering one for myself
46,"It’s a refurbished phone I don’t mind that it didn’t come in an original box, the phone itself is in very very good shape, I was so skeptical about buying this phone from amazon since it’s my first time buying a phone online but it is in very good condition! No cracks no scratches ! Looks brand new !! Seems to be working fine for now hopefully it stays that way I just need to see if it’ll work with my carrier, it came with a screen protector which was a nice touch :) really happy with the productUPDATE!!!! After a Month or two of having it, it still works really great! Batter life is long and it charges super fast. Highly recommend"
47,"I got this when the battery life in my last phone, the LG V30 started tanking. I figured that I could easily try the current iPhone and sell it again if I didn't like it. I am pleasantly surprised by pretty much everything this phone offers.I'm going to start with the battery life, because that is the because surprise I have had coming to this phone. On day one with my old phone, I would get at max 6 hours of SoT (screen on time) before the phone would die. That was typically enough for me to go from 6am to 10pm with enough left over for me to not feel worried about dying in the middle of the day. Prior to buying this phone that battery life dropped to roughly 3.5-4 hours of SoT before dying.This new (refurbished I know) phone easily gets ~8 hours of SoT, easily going even higher depending on what I'm doing. I can go a full two days without a charge. That's with bluetooth on 24/7. To say I am happy with the battery is an understatement.The other features, are also pretty good. Not anything that blows me out of the water, but definitely at least as good as the other competition. The face unlock, which I assumed was going to be terrible, is much better than I expected. I would still prefer a fast fingerprint sensor, but this thing does the job almost as well. I have had a few instances where it refuses to recognize me on the first attempt, but they are uncommon. The camera is as good as you would expect from a modern smartphone, with several extra features that are actually useful in certain circumstances.Long story short: I will definitely be sticking with this phone for the foreseeable future."
48,"Apple iPhone 11, 64GB, Red - Fully Unlocked (Renewed) arrived in only two days nicely packaged and looks brand new! Only one, barely noticeable scratch on the screen and a very tiny scratch on the side that you can notice if you hold it really close to your face. Overall I'm very satisfied. I've had the phone for 24 hours now, works really well and fast and battery is still going since I charged it yesterday, it's at currently at 29%. If any unusual changes occur in the near future I'll update my review but I doubt it since the phone is in near perfect condition"
49,I received a phone that had a crack in the screen which wasn’t that big of a deal but the something was off with camera though compared it my boyfriends phone who ordered the same one from Apple and I think it was replaced with a different one and the biggest problem with the phone was that it’s kept restarting I thought maybe I was doing it by accident but no it would turn off while I didn’t have it my hand but using my AirPods . I also had problems trying the return the phone as the shipping label they sent roundly be taken by fedex and I had to pay myself all around you’d be better off buying new phone from Apple it ended up being cheaper .all around I paid $780 for the phone unlocked from Apple don’t waste your money
50,"This review is based on the renewed status of the phone and not of the iPhone itself. I had previously purchased a renewed Galaxy phone from Amazon and the phone was practically new for a small fraction of the price and it came with the original box and accessories. I thought it'd be worth it to save $100 or more since my last experience went so well. Unfortunately, the iPhone I received was very visibly used with scratches littering both sides of the phone, but without deep cracks to the screen. The battery's health was on the lower side. The phone also came in a generic box with generic accessories, which was to be expected since it is in the item description, but when you look at what you get for the renewed price it seems like a poor deal. Thankfully Amazon has a longer return period if the phone doesn't work out for you, but I only needed a few minutes with the phone to know that I'd rather buy a new phone from Apple for $100 more."
51,"This was an amazing buy from Kiss Electronics. No issues with phone operation so far, only just received & setup. Was packaged nicely & came with an adapter and a charging cable (no headset). Iphone product Red body was in good condition. Small scratches on upper corner . Very very happy with purchase"
52,"A BIG thank you for selling iPhones on Amazon! I wanted this phone so bad and couldn’t get my hands on it anywhere unlocked. I am so glad I could buy in through Amazon, This is how we get everything so we knew it was reliable. The phone did not come in an apple iPhone box, but a box just the same with a charger no headphones. But I could care less because all I wanted was the phone. Works great, you wouldn’t even know the difference. I have since told friends and family to do the same when looking for a new phone. Plus it was much cheaper then I found it anywhere else. Very pleased that I got exactly what I wanted for an amazing deal!"
53,camera came slightly scratched but overall a good purchase
54,"Just got my iPhone 11 today and I was so anxious of using it but had to wait 2 hours for everything to set up. After that a message popped up saying that my phone screen may not be genuine so I freaked out because it supposed to be all ortigal? Right well apparently the screen is not authentic at all... hope my review and evidence works to y’all. I scanned my phone with a program called 3utools, hope it works."
55,Works great.
56,Not user friendly. I might have to return it. I have to learn how to clean it before I send it back as it loaded my pictures from my other phone.
57,"No scratches or damage on the screen, or, for that matter, any part of the phone! SO happy I took the plunge and bought the phone, it has been well worth it so far!-no scratches or dents anywhere-battery capacity 100%-unlocked & everything as advertised"
58,"The phone came in with scratches on it but after I put the screen protector on you can’t see it and whenever you put the screen protector on it’s gone have some like bubbles I put it on over and over and the bubbles seems to not go away but, overall it’s good I guess it doesn’t have YouTube but I’m satisfied I guess but, the price should’ve been lower than this since it’s refurbished and still come in the mail kinda mess up. The face recognition works fine battery was fine the setup was good only took 5 mins."
59,"So I gave the phone another chance after it kept glitching on me but it’s definitely a no. The phone already came cracked on the side where the lock button is, I guess that’s why the phone won’t power off for me to complete the activation. Second after finally getting the phone to activate after letting it die out for a day because you have to turn a phone off & on for proper activation it finally started to work. I had gotten a screen protector & phone case for this iPhone 11 all for it not to work. After four days of having the phone i could no longer have a conversation on the phone. I could answer the phone & people could hear me but I couldn’t hear them, Then shortly after being on the phone it would hang up & say call failed. When I was on FaceTime the front camera was glitching on the video. I’ve had enough of this phone. Called straight talk this morning to have my minutes transferred to my other phone, will be taking my screen protector & case off && taking my new sims card out to return this phone TODAY for a full refund. This is my second time purchasing a phone from Amazon & BOTH times the phones were defects or glitches how you wanna say. I will NOT be ordering anymore phones online again. First time shame on you, second time shame on me & there will NOT BE A THIRD. People please read these reviews carefully because the person selling you the phone do NOT care. They fix these phones that’s broke & try to sell them thinking they’ve found a dummy because most won’t return the phone but I had a little time today & will have more when I get my refund today. I’ll give the phone one star because the phone takes nice back pictures but THATS IT."
60,"My sister is absolutely in love with this phone 😍 she was so surprised when I gave it to her, very fast shipping packaging was great."
61,"Received phone.  It looked good, then after charging it overnight the screen was a jumble of blurred vertical lines.  Amazon insisted we had to deal with the seller.  Could not clear the phone as the screen didn’t work.  Communication from the seller was scripted, they never really answer your questions.  Sent phone back to seller.  They refunded 1% and kept 99% as a restocking fee!  Then we had to force Amazon to deal with it to get a full refund.  Horrible seller, buyer beware!!!"
62,"It came in perfect condition, no scratches, nothing was wrong. The battery life was at 100 percent. I had no complaints. One thing I noticed was that the app snapchat is glitchy on the phone. If you try to edit something for your story it just discards it after 30 seconds. Other than that,  it didn't come with earphones. As most people know the Iphone 11 has no headphone jack. So it's crucial that when we buy these phones we should get everything like new. Also, the charger is probably only a foot long. I like to play games or change my music while i'm laying down. I can't do that because the charger is so short. Last but not least, when you get the phone, the instructions are horrible. It tells you to download an app and what not, that just glitches your phone. Don't do it. Instead look up a video online on how to insert a sim card into an Iphone. From there, when you turn on the phone it will have instructions set up from apple. Do not! I repeat do not! Use the instructions provided. If you are switching from android to apple, it will take you longer to set up your phone because you need an apple ID. Also, you need to save your contacts, and write them down. Even after saving all my contacts to my sim card, when I inserted it, none were there. So it's crucial to remember your contacts."
63,I paid $ 720 but the screen was scratched.  Should not be bought at this shop.
64,"I requested an exchange because the phone I got reset on me a few times while trying to set it up. Like I had to redo adding my wifi and password, all the settings like country, prompts, etc. They made the return process so easy so I’ll give them props for that! Just got the “exchange” item. IT’S THE SAME EXACT PHONE I SENT BACK! I know because I recognize the small set of scuffs in the top right hand corner. They asked if I wanted the same color and I specified if it was available or I’d even take a white if it was a better option. They just replaced the little back sticker that came off when I had to clean it the first time I received it because it arrived dirty( like how phones get when they’ve been on a case for a while and the random dust/gunk that kind of accumulates) and added a fancy gold charging cord instead of the play white one. For paying over $400 for a renewed phone like this one I’d say OVERPRICED. They should base their prices off of how the phone looks and not just charge the same for all phones. I can say I’m disappointed to say the very least. The battery life is 86%.  The renewed iPhone 8plus I ordered 2 years ago (from somewhere similar) came at 97% battery life. That’s why I had high hopes it would be fine to order renewed.Will not order from again when the time comes to get a different phone. I’ve learned my lesson."
65,"Slight micro scratch on the screen, but overall good condition for an open box"
66,"I’m pleasantly surprised with this transaction.  I’m a true skeptic and regularly conduct extensive research when making this type of purchase.  The phone doesn’t come in original packaging and the cord and wall adapter are definitely not Apple products. The usb connection on the wall adapter had was bent and i could not slide the usb into the adapter....that was tossed into the trash.  With that said, the product I care most about was the phone itself and it is exactly as advertised.  It stared right up and went through start up process.  My entire phone was transferred within an hour and I was on my way.  I’ve been using it for about 4 days now and the battery life is strong and all the features work perfectly (no sticky buttons, etc).  I would definitely recommend this vendor if you only care about getting the iPhone as it’s supposed to be.  If you’re concerned about packaging and having a “uniquely” Apple experience, you may want to pay the additional $400 at the Apple store."
67,"Phone doesn’t work on the providers they say it will. I really wish I’d paid attention to the 1-star ratings before I bought it.Pros: the phone is in great condition and it works wellCons: It’s not really unlocked – or its some weird hardware configuration. It won’t connect to the providers they said it would. I was on a Verizon network and bought the phone so I could switch to sprint. It didn’t work on sprint. I contacted the seller’s support, and they gave me lots of things to try. I tried them long enough for the return window to pass. Then they basically said, too bad for me.If I had it to do again, I’d spend a little more and get something that works properly. Or just returned the phone and got another."
68,"If there was a way to leave a 0 star, I would. I got the phone in the mail, super excited to get it up and running, and it wouldn't turn on. I called Apple and was on a call with them for 30 mins and they couldn't help me get the phone on either. Needless to say, I'll be returning the phone without even getting a chance to use it."
69,All they did was replace the glass. The sides of the phone are all scratched up not refurbished at all and the cables included are all aftermarket... not really pleased with the way the phone looks at all. Do yourself a favor and spend the extra money for a new one.
70,The Face ID do not work I tried everything to fix it  In wouldn’t buy from dis seller again
71,"Got my phone in two days rather than five standard shipping days! I was happy it came sooner than expected!  I was nervous about ordering a renewed phone online because I didn’t want to spend $700 on a phone not knowing if it  was damaged or not, but I’m happy to say it came like brand new with no dents or scratches!! I’m so happy I made this choice because it saved me almost $300 from ordering on the apple website. Would definitely take the chance if your looking to buy the phone from them. The phone came in a different box with just a charger, FYI."
72,"The iPhone 11 my son bought from BuySPRY technically works in the sense of being a very expensive digital camera and ipod, but not as a phone.  In august, we were contacted by our phone service provider Xfinity Mobile who said the phone was flagged for being from Asia, possibly counterfeit, and therefore unusable on their system.  Checking with Verizon, ATT, and T-Mobile with IMEI, the answer was the same - nobody wants this phone on their system.  We contact BuySPRY who asked for the IMEI, which I immediately sent, and they have ghosted us since. We are now out of the return window, and my son has wasted his money."
73,"What an awful, frustrating month long experience. Save yourself a ton of grief and aggravation and do not buy a phone here!! This whole experience was tragic. The phone was an absolute complete and total piece of worthless junk. The key board didn't work, it constantly froze up, it muted itself whenever it felt like it. I initiated a return process after the hassle of importing everything onto it then having to reverse the process when I realized the phone was possessed. I contacted the company and their big solution was to have me take the phone to a local repair shop like it was a pair of shoes and get an estimate for repairs, send them said estimate and they would then reimburse for the repair cost if the estimate was to their liking.NO WAY!! Ludacris, absurd solution! I finally had to get Amazon customer service involved, 6 phone calls over the span of a week and they were nice about it but I had to drive the phone 45 minutes to a UPS drop off spot after that and finally got a refund but not for the full price paid so I had to call Amazon AGIAN to get it fully rectified. Even the Amazon representative said this was a totally bogus response and proposed solution from the seller and to not buy 3rd party seller items in future. Lesson learned! Don't waste your time with this company. they sell you junk and make it as hard as possible to return for a refund. one month out and I still don't have a phone. Waiting till Black Friday at this point and buying new."
74,"I was going to buy my girlfriend a bigger phone than her SE2020… but was worried about her not liking it not having a home button. Her fingers don’t always have a good tactile feel and has a hard time doing screen motions.She wasn’t to keen on the Face ID either.So after looking at the IPhone XR, XS Max and the 11, I decided to go with the 11. I looked through about 15 vendors and their review scores. This vendor came through pretty well. There is a small nick in the paint right above the power button, case hides it though.The battery is at 100%!! I did have some questions about the ear speaker. The calls were sounding crackly. I called Amazon and got disconnected but they emailed me and said to try and brush the ear speaker out. I did it and it seems to have helped but I don’t know if it’s 100%.The phone is great, It came with a screen protector on it and I don’t like those at all but it is on there very well so I’ll leave it for now.My girlfriend is getting my IPhone 8+ which has a bigger screen than hers and retains the home button.Overall happy with it, it does take some time getting use to it without a home button but Face ID works well."
75,it seemed like new the thing I didn’t like is was it wasn’t in its original boxing didn’t even last three months and the screen started bugging out since it’s refurbished and the seller won’t help me by swapping it or giving you a refund. I’m mad and upset 700$ for a busted iPhone 11 what a rip off:( don’t buy this product as it’s just a broken phone. Better off buying a new one. They won’t even swap or anything. Like I just want a full refund n to send it back:( very unpleasant
76,Speakers are blown and very crackly. Cannot hear it is so bad.
77,"Not gonna lie, after reading some of the reviews, I was a little hesitant to buy a Renewed phone, but in the end I'm super glad I did it! My phone came a day earlier than I expected, was nicely packaged, and already had a screen protector applied (no bubbles!). Set up and transfer from my old 6+ was simple. Got my apple watch transferred over. Cameras all work great, face ID has no issues so far, etc. Obviously it's been less than a day, but so far, so good! ♥"
78,"Keep in mind these items are refurbished, which means someone else has had them - it may have a screen cover or already have knicks and chips. Based on my experience - there's a huge chance it could have been opened and repaired. If the phone was opened and the water resistant seal wasn't sealed correctly - you may lose the water resistant rating that these phones should have. There's a small chance of that happening, but it could still happen. Good thing - you have an extended 90 day return policy when it comes to Amazon refurbished returns.If Amazon offered unlocked, new phones - I would go that route - unfortunately they don't."
79,"The media could not be loaded.
                




   I couldn’t have made a wiser decision about this iPhone 11. First off, it’s almost $60 cheaper than a brand new one, which is practically a steal. Then, it arrives 3 days early, who doesn’t love that? Lastly, I have boost mobile as a phone provider, so purchasing the phone totally unlocked was the way to go, walking into the store and getting the phone activated with the plan I already have took about 10 minutes, all I needed was a SIM card to be put in, which is $10.To anyone worrying about buying this and it being a bust, fear not! I am over the moon, elated about my purchase. Worth every penny."
80,"Not gonna lie i was a little skeptical at first, im like dang did i really spend that much money on this what if its a scam? but im more than happy with the results. Battery health is on 100, phone is in perfect condition, came with new charger (no headphones tho), and there was no trouble transferring data from my old phone to the new one. I didnt even need to call my carrier to turn on the phone, just simply placed my sim card in. Definitely recommend this (if you dont mind the price lol)."
81,I only dislike that I didn’t receive headphones with the order. Everything else was on point
82,It’s refurbish but I got all brand new (apple box with original charger but missing the ear plug)
83,Cheapest iPhone 11 with 128gb that I could find online and I did ALOT of searching. Great buy! Love my new phone and the camera quality is amazing
84,The phone came in great condition. It works great! No lag! No issues! The battery life is great as well. I’m happy with the quality of the phone. I’m happy with my purchase! :)
85,"The media could not be loaded.
                




   ** Edit **The seller provided a copy of the report showing all components were OEM, so it was simply an oversight on the Quality Control of the reseller - which is understandable, since it was only noticed upon angled inspection.*****This phone actually looked amazing - barely any scratches on the case and the screen appeared wonderful.... UNTIL it's held at an angle.  See video clip of how rippled / warbled the screen was - obviously a non-OEM quality replacement job.  And likely a poorly completed job by the seller.when applying screen protector(s) it became horribly noticeable - the protector couldn't fully adhere, leaving bubbles that couldn't rub out because the underlying screen wasn't smooth.  Disaster - waste of 2 protectors.Sad part - this was our 2nd refurb phone, the first had the original glass - but was pretty scratched up.  Not worth $500 as a refurb.  Returned, purchased from a different seller.  Lesson learned - just spend $50 more and buy it new from Apple.com"
86,"Wow... Went to activate phone and Verizon says the phone has been reported as STOLEN?!?!?  The girl at tech support was very nice and issued me a refund. She stated that the phone may not have been wiped clean by the previous owner, but either way, aren’t they supposed to check these things out before simply sending them out to buyers? Wow, I’d expect this on eBay, but not Amazon. ☹️"
87,"Honesty is greatly appreciated these days. They delivered exactly what they promised: The phone arrived timely and it looked brand new. Everything worked smoothly as I expected. Unfortunately, I wasn't very thrilled about the phone size because I have always liked larger phones, so I contacted the seller for a refund. They kindly instructed me as to how to return the item in order to get a full refund back on my card. So far, so good. No complaints and I would definitely do business with these people again."
88,The product came in a timely fashion. I like that it came with a charger no headset though charger not original but can’t complain for the price you are paying great deal and the phone is great condition
89,"i desperately needed a new phone. my phone was starting to give out not only because my old phone was outdated (iPhone 7+), but it was starting to have so many problems. trust me, i did so much research and looking up what type of new phone i should get. i looked for months on end while my old phone was still in good condition. the iPhone 11 was honestly the best purchase i got, it’s so new and improved that i don’t ever wanna switch back to Samsung. i’ve gotten used to the no home button that when i first got it, i didn’t know how to use it😂best part was that i got the iPhone 11 unlocked and it works with my straight talk so i’m pretty pumped about that.thank you!!"
