document_id,clean_text,sentiment
10,i find this film very engaging from start to finish  i couldn't get my eyes off the screen! the kung fu is very good  and the visual effects are wonderful  i enjoyed every second of this film ,Positive
11,"i've said this before about marvel movies: they are a victim of their own success  ""shang chi"" had to follow up a decade and a half of quality mcu movies  so the same movie that would've been a smash 10 years ago isn't viewed quite the same today  the movie was good  but it failed to really separate itself ""the legend of ten rings"" as a title already sounds too much like lotr  and in fact it was something like it in that he with the rings had the power  xu wenwu (tony leung) had the ten rings which gave him near omnipotence  with the ten rings he could defeat entire armies and live forever  he decided to use the rings to become a tyrant he was willing to put his rings aside and grow old for the love of his life  a woman he found after living 1000 years  i thought it was a bit strange that it took the man 1000 years to find his true love  but i didn't dwell on it stranger than him taking a thousand years to find his true love was the woman who fell in love with him  she lived in a secret magical village in macao that was totally isolated from the rest of the world  she was a gentle benign character who had powers herself and was able to defeat wenwu when he came to essentially conquer her village  somehow  through their crouching tiger  hidden dragon esque battle they fell in love  maybe that makes sense for him being that he finally found someone who could defeat him  but it didn't make sense for this nearly pure woman to fall for a man with a 1000 year history of tyranny still  they wed  forsook their powers and started a family their family would be unceremoniously destroyed when an old foe of wenwu  a vicious gang  came by their house to get their pound of flesh and killed wenwu's wife  li (fala chen)  li could've attempted to barter with them for some sort of material exchange for their past losses  but instead she immediately decided she'd try to fight the entire gang and lost her life in the process  that would cause wenwu to don the ten rings again and return to tyranny so  if you're keeping score on wenwu's wife  1 ) she was smitten with a man who came to destroy her village and 2 ) she chose to fight an entire gang with no powers to speak of and with no attempts to negotiate i recognize that it was a plot device to advance the plot  but it could've been done a lot better and with more tact  her character never struck me as someone impulsive and/or not able to judge character yet she exhibited both flaws most of what i've covered was garnered throughout the movie via flashbacks  the real main character was saun aka shang chi (simu liu)  he was the son of wenwu and li  years later we see an adult saun  he lives in sf and is a valet  he is violently thrust back into the life he ran away from when his father's goons came for the pendant around his neck given to him by his mother  it was at this point we learned his backstory  of which i've given some already  we find out he also has a sister  xialing (meng'er zhang)  who disney not so subtly informed us she had to train herself to become a fierce warrior because of her gender  the two of them had been split up for close to twenty years when saun ran away after being trained to be an assassin by his father  he was fourteen at the time and she was ten when he promised her he'd be back  he never came back and when they met again in macao as adults she held the same ten year old bitterness against him for running away as though a fourteen year old should've been more reliable  she greeted him with a butt kicking that was twenty years in the making  it's clear that it never crossed her mind that he may have been killed  or maybe she would've considered his death a betrayal as well  either way it was a completely childish way to handle reuniting with your long lost brother the two of them would join forces along with saun's friend katy (awkwafina) and really quickly to stop their father  he was going to use the ten rings to breach a portal to another dimension which contained some soul sucking demons the introduction of demons to the movie did offer some excitement  it upped the stakes of everyone involved and thrust another marvel character into the role of saving the world saun would save the world with the help of his friends and family  some would die  but the most important characters lived  i was somewhat satisfied with the movie  the acting was commendable and awkwafina was good as the comic relief  ""shang chi"" may just be the placement of a singular brick to build to something bigger  i just hope what marvel is building towards is worth it ",Positive
12,"it's been ten years since shang chi(liu  charming  stoic) last saw his father  and leader of the criminal empire the ten rings  wenwu(leung  charismatic enough that we feel a lot of empathy for him  even when he does terrible things that we desperately want him to stop doing)  that was also when he last spent time with his sister  xialing(zhang  a badass who deserves more screen time  honestly  i'd be very surprised if she didn't  in future projects)  he's joined by his friend katy(awkwafina  quirky  providing a lot of comic relief  something i'm told she's in general adept at)  for what can best be described as a tense reunion  which allows the movie to really mine the family melodrama  one of the best elements it has  i won't give away exactly what the antagonist intends to do  only that our hero has to stop him  however  he has to figure out how  maybe even if  that is even possible not quite  yet almost ""black panther for asian audiences""  this does a lot for representation(including for women  some of the best characters in this are female  in addition to the two that i've already mentioned  there is also ying nan(yeoh  wise))  it is positively drenched in chinese culture(the third act  while in ways it feels like it belongs to a completely different film than the first two  takes an especially deep dive into that  ultimately  it is presented through a western lens  and clearly we need to go further in this direction  still  it is a big deal that they put so much of it in an estimated $150 to 200 million major blockbuster  which will be seen by millions of people who would never consider watching an art picture  especially one focusing on a group they don't belong to)  to the point where countless times  when it makes sense  major characters in this speak mandarin to each other  rather than english  which it is subtitled into  and ""don't worry""  for those who think that the following is important: there are white people on screen  and they aren't made out to be ""less than"" the action(each sequence of which feels distinct  belongs with the rest  and is memorable) pays tribute to many different kinds of martial arts films  acknowledging that they are standing on the shoulders of giants  jackie chan  wuxia  etc  the choreography is matched in skill by the cinematography  not only are we seeing incredible fighting  the camera is dynamic  celebrating and highlighting how incredible it is  that *is* why you hire bill pope  the director of photography on the matrix trilogy  two of sam raimi's spider man entries  darkman and team america  the special effects are excellent  there are some issues with pacing  and certainly a chunk of this is composed almost entirely of flashbacks this features relatively brief but highly concentrated  surprisingly graphic gore(you know  there was a time when the fact that it's happening to beings that clearly are not human  wasn't enough to get away with this kind of thing with a pg 13 rating  pepperidge farm remembers)  as well as a little strong language  i recommend this to any fan of comic book movie adaptations  and people passionate about diversity hiring  8/10 ",Positive
13,"i really dislike marvel movies  they're formulaic  generic  and loud  they don't care about story  they just assume that the audience watching them has low enough standards that they'll be satisfied by a bunch of chaotic stuff thrown on the screen  and given their total dominance of box office and movie theater screens  i guess they're right every so often  one will get good reviews that suggest it's something a bit different compared to other marvel movies  and i'll get suckered into watching it because  hey  i want to have fun too! that was the case with ""shang chi ""but     uh     no     this movie is not very good  it starts out promising  i like awkwafina and enjoyed her until the movie decides to dump her  i liked the marriage of martial arts and the marvel universe until the action became a nonsensical mess  the visual effects that were oscar nominated are pretty good i guess  but who cares? all visual effects look the same these days  and none of them are very impressive unless they serve a good story needless to say  won't be seeing the obligatory sequel grade: b ",Positive
14,shang chi leaves san francisco with his friend katy in pursuit of old family secrets and discovers crime  danger  previously unknown family  quite a lot of wire fu  ancient myths  and a couple of faces familiar to those who follow the mcu this is the first mcu movie where i have been completely unfamiliar with the source material and  therefore not sure what to expect other than martial arts well  i've seen a fair number of martial arts movies (without seeking them out)  so the building blocks for shang chi are not unfamiliar but they are very engagingly assembled  the story is strong  with moral ambivalence playing a part  the action is extremely well choreographed and  at times   and in common with the settings and costumes   quite beautiful  this is a gorgeous film to watch  the effects are  as expected  first rate the script is good  with much more laughter than i expected  it is helped here by awkwafina   playing her typical raucous character she adds a welcome note of humorous disrespect  yet she also acts well and is sympathetically in tune with the plot and characters  michelle yeoh is stable and relatable  the leading character is  arguably  a little light on charisma  but this is not necessarily a bad thing given that one of the main plot threads is about shang chi finding himself ,Positive
15,without spoiling anything as this story stands by itself there's going to be a sequel and i really look forward to that  it was that good in my humble opinion  visually it was just stunning  great cgi's  very well choreographed fighting scenes  and a story that was most entertaining to watch  some might find it over the top but it's a marvel so what do you expect? to me this is one of marvels best movies yet if not the best  the acting was good as well  and that from the whole cast  i never heard of shang chi before but from now he has one more fan  shang chi and the legend of the ten rings won't disappoint a lot of people  unless you're just not into this genre of movies  a must see for the fans ,Positive
16,"started like a mix between martial art and the marvel universe  i found it something special and liked it a lot just until the journey starts and another world opens  from there on we came into a fiction world with dragons and monsters it's there that this flick lost my attention towards the story  it takes a while before the action comes back in  but once the fights are on  the effects are really stunning mixed feelings aboutthe result  not bada fter all but with the other world coming in  it lost some points in the rating for me nevertheless  some funny parts here and there added and they worked out fine gore 0/5
nudity 0/5
effects 5/5
story 3/5
comedy 1/5 ",Positive
17,this is the story of ten rings  weapons  used for thousands of years to take power and control  shang chi ( simu liu  as chang xi ) accidentally gets pulled into the history  and can't turn back  co stars awkwafina  tony leung  both winners of tons of film festival awards  also ben kingsley    oscar for gandhi  although he looks so different  you may not recognize kingsley in his role! it's a marvel story  from disney  so there's a good mix of adventure  violence  animation  levitation  and some jokes sprinkled here and there  the bad guys are collecting the pendants with the power  and cannot be allowed to gether them all  surprisingly  a couple swears  giving it the pg13 rating  they meet good people that want to help them on their journey  and evil people that want to destroy them  some fun special effects  directed by destin cretton  chang xi character created by steve englehart  jim starlin  it's quite good ,Positive
18,"""the us government was almost toppled by a pretender named after an orange "" wenwu (tony leung)this quote is typical of the light hearted but also serious addition to the mcu that is shang chi and the legend of the ten rings  although marvel has always been less serious than dc  this time it leaves superman and batman to cry in their capes  sweet superhero sean/shang chi (simu liu) has more humanity than almost any other hero  and he uses his martial arts only when pressed the opening sequence on a bus (you can see the bad coming from other cinematic bus rides such as in nobody) is rousing and entertaining  it has a fight sequence i laughed through because of its ballet like composition but satisfying because it sets up character and motivation when things get heavy  and they do because sean must confront and potentially kill his 1000 year old mobster dad  wenwu  awkwafina's katy  sean's girlfriend  is there with amusing one liners throughout the adventure  right down to a life saving shot in the big ending battle scene director destin daniel cretton deftly orchestrates his fights and his characters' lines with the authority of a much more seasoned filmmaker  he never loses sight of the central motif the affirmation of family primacy  so that the potential chaos of a giant cast and multiple plot strands hosts a unity glued by character and dialogue shang chi is a marvel for the whole family and especially the cinephiles curious how the marvel cinematic universe can be so diverse  so entertaining  and so perfect a purveyor of our heroic fantasies ",Positive
19,"""plain as day that ying li is pushing up daisies and the voice originates from some sinister force  but shang chi and xialing cannot bring their monomaniacal father to his senses  so with the aid of trevor slattery (kingsley  a gas of a court jester)  the actor who pretends to be ""the mandarin"" (one of wenwu's pseudonyms) in iron man 3 (2013) and morris  a mythical creature hundun  they hasten to ta lo to warn the people there of the impending attack  the rest is a very boilerplate superhero stuff  to ward off a soul consuming monster called dweller in darkness  and wenwu must pay the piper  and the ten rings will find their new master ""read my full review on my blog: cinema omnivore  thanks ",Negative
20,'shang chi and the legend of the ten rings (2021)' is  essentially  exactly what you expect it to be  not only does it feel like a marvel movie  it feels like a literal disney movie as well  this is often detrimental to the overall affair  as the piece should have been much more unique than it ultimately is  and it makes for a much less interesting watch overall  however  the formula it follows has provided plenty of success in the past; this time is no exception  its highs are where you'd expect them to be  as are its lows  and there is an undeniable sense of fun  albeit cookie cutter fun  to be had  the film is an entertaining action adventure that follows a young man whose criminal father calls him and his sister back home in order to lay siege to the mystical village he believes is holding his wife  the protagonist's mother  hostage  the villain's motivation is a little underexplored yet entirely understandable  it comes from a believable emotional place and is more satisfying because of it  the relationship between the lead and his no good dad isn't explored as much as it could be  though  and the flick generally has a bit of a theming issue  the piece tries to tie its events directly into the wants and needs of its lead characters  but it does so in an unsatisfyingly half baked way and honestly would probably have been better if it played itself as more of a straightforward adventure ala most of the 'mission: impossible (1996 )' series  still  the touches of character development are appreciated and each lead player is written to be as likeable as possible  this  combined with the amicable performances  means that you care about the heroes even though you don't have all that much reason to  this keeps you invested in their stories throughout  the highlight of the entire affair is  for sure  its action  for the most part  the picture stays towards the right end of the practical to cg spectrum  the fights are never exactly realistic  per se  but they're based on competent choreography and clean camerawork  they're  more often than not  really entertaining  sadly  the flick inches closer and closer towards the wrong end of the aforementioned spectrum the longer it goes on  by the time it reaches its finale (which gives me major 'fast and furious presents hobbs and shaw (2019)' vibes for some reason)  it's clear that the balance it previously achieved is going to go out of the window  sure enough  its climactic battle is an entirely computer generated affair; it isn't all that compelling and goes directly against what made the movie so enjoyable to begin with  no matter how hard it tries to disguise it  it still ends with a big blue beam in the sky  still  the finale isn't exactly bad  it's just annoyingly intangible and feels a little forced in  even (as do the rather cringe worthy post credits scenes)  ultimately  this is a generic yet entertaining experience  its charming acting and exciting action are clearly its highlights  and its weakest aspects are still decent enough  it's a good movie  however  i can't deny that marvel fatigue is becoming more and more pertinent in my mind  you know what you're going to get before you get it  plus  the studio's insistence that it has to perforate every single outing with references to other  almost entirely irrelevant fare is really annoying  although most of their movies are at least okay  i find myself not caring at all about them  that's sad  really  considering that the mcu has produced some genuinely great pictures in the past  7/10 ,Positive
